campaign_name,rank,creator_name,score,engagement_score,follower_fit_score,niche_match_score,location_score,completeness_score
Mumbai Fashion Campaign,1,Neha Sharma,99.33,40.0,19.33,20.0,10.0,10.0
Mumbai Fashion Campaign,2,Aisha yadav,94.0,40.0,14.0,20.0,10.0,10.0
Mumbai Fashion Campaign,3,Meera Joshi,83.33,40.0,13.33,20.0,0.0,10.0
Mumbai Fashion Campaign,4,Sneha Iyer,76.67,40.0,16.67,10.0,0.0,10.0
Mumbai Fashion Campaign,5,Karan Patel,72.67,40.0,16.0,0.0,10.0,6.67
Bangalore Fitness Campaign,1,Sneha Iyer,94.29,40.0,14.29,20.0,10.0,10.0
Bangalore Fitness Campaign,2,Arjun Mehta,90.71,40.0,10.71,20.0,10.0,10.0
Bangalore Fitness Campaign,3,Neha Sharma,78.57,40.0,18.57,10.0,0.0,10.0
Bangalore Fitness Campaign,4,Aisha yadav,75.71,40.0,15.71,10.0,0.0,10.0
Bangalore Fitness Campaign,5,Meera Joshi,70.71,40.0,10.71,10.0,0.0,10.0
Delhi Beauty Campaign,1,Priya Singh,93.34,40.0,16.67,20.0,10.0,6.67
Delhi Beauty Campaign,2,Meera Joshi,90.0,40.0,20.0,10.0,10.0,10.0
Delhi Beauty Campaign,3,Neha Sharma,72.67,40.0,12.67,10.0,0.0,10.0
Delhi Beauty Campaign,4,Sneha Iyer,66.67,40.0,16.67,0.0,0.0,10.0
Delhi Beauty Campaign,5,Aisha yadav,60.0,40.0,0.0,10.0,0.0,10.0
Mumbai Technology Campaign,1,Karan Patel,95.67,40.0,19.0,20.0,10.0,6.67
Mumbai Technology Campaign,2,Aisha yadav,76.0,40.0,16.0,0.0,10.0,10.0
Mumbai Technology Campaign,3,Neha Sharma,76.0,40.0,16.0,0.0,10.0,10.0
Mumbai Technology Campaign,4,Sneha Iyer,60.0,40.0,10.0,0.0,0.0,10.0
Mumbai Technology Campaign,5,Vikram Rao,58.8,28.8,0.0,20.0,0.0,10.0
