creator_id,name,followers,engagement_rate,niche,location,bio,category,contact_email
1,Aisha yadav,80000,6.2,Fashion,Mumbai,Yes,Fashion,Yes
2,Rahul Verma,500000,2.1,Gaming,Delhi,Yes,Gaming,Yes
3,Neha Sharma,120000,5.5,Fashion,Mumbai,Yes,Fashion,Yes
4,Arjun Mehta,45000,7.8,Fitness,Bangalore,Yes,Fitness,Yes
5,Priya Singh,200000,3.9,Beauty,Delhi,Yes,Beauty,No
6,Karan Patel,95000,4.8,Technology,Mumbai,No,Technology,Yes
7,Sneha Iyer,150000,6.5,Fitness,Bangalore,Yes,Fitness,Yes
8,Rohan Das,30000,8.2,Food,Kolkata,No,Food,No
9,Meera Joshi,175000,4.2,Fashion,Delhi,Yes,Fashion,Yes
10,Vikram Rao,600000,1.8,Technology,Bangalore,Yes,Technology,Yes
